First, Second
die Hose,the pants
der Pullover,the sweater
das Hemd,the shirt
die Jacke,the jacket
das Kleid,the dress
der Rock,the skirt
die Unterwäsche,the underwear
die Socken,the socks
die Schuhe,the shoes
der Mantel,the coat
der Anzug,the suit
die Krawatte,the tie
der Hut,the hat
die Mütze,the cap
der Gürtel,the belt
der Schal,the scarf
die Handschuhe,the gloves
die Sonnenbrille,the sunglasses
der Bademantel,the bathrobe
der Badeanzug,the swimsuit
die Badehose,the swim trunks
der Bikini,the bikini
das Unterhemd,the vest
die Unterhose,the boxers
der Slip,the panties
der BH,the bra
die Strumpfhose,the pantyhose
die Strümpfe,the stockings
