First, Second
sein, To be
haben, To have
tun, To do
sagen, To say
gehen, To go
kommen, To come
sehen, To see
wissen, To know
denken, To think
wollen, To want
geben, To give
nehmen, To take
finden, To find
machen, To make
benutzen, To use
bekommen, To get
sehen, To see
hören, To hear
sprechen, To speak
schreiben, To write
lesen, To read
spielen, To play
arbeiten, To work
fahren, To drive
schlafen, To sleep
essen, To eat
trinken, To drink
tragen, To wear
kaufen, To buy
verkaufen, To sell
sehen, To watch
hören, To listen
